"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","Section_0","Section_1","Section_10","Section_12","Section_13","Section_14","Section_15","Section_16","Section_17","Section_2","Section_3","Section_4","Section_6","Section_7","Section_9","Section_11","Section_18","Section_19","Section_20","Section_5","Section_8","Section_21","Section_22","Section_23","Section_24","Section_25","Section_26","Section_27","Section_28","Section_30","Section_31","Section_32","Section_33"
2372507,"Senior Product Designer","https://careers.duolingo.com/jobs/7846777002?gh_jid=7846777002","Duolingo","Beijing","No","Not specified","Full time","2025-02-05T03:13:08.379131Z","Our mission at Duolingo is to develop the best education in the world and make it universally available. But weve got more left to do  and thats where you come in!","Duolingo is the world's most popular learning app. Beyond our core learning product, we also offer English proficiency testing with the Duolingo English Test, and are bringing new subjects into the Duolingo app, where people can develop their Math and Music skills.","An online portfolio with mobile app or web design samples
Design experience in a consumer application, product, or software role
A desire to strive for excellence in your work until all details are attended to
The ability to explain your work, process, and decisions and seek feedback to help you produce your best work","Exceptional candidates will have...","Worked at a high-paced tech start-up
Illustration andor animation skill-set
Experience participating in or leading user research sessions","We will do everything we can within reason to make sure that your interview takes place in an environment that fairly and accurately assesses your skills. If you need assistance or accommodation, please contact your recruiter.","Duolingo is proud to be an Equal Employment Opportunity employer. We do not discriminate based upon race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics.","Take a peek at how we care for our employees' holistic well-being with our benefits here.","By applying for this position your data will be processed as per the Duolingo Applicant Privacy Notice.","We are passionate about educating our users, making fact-based decisions, and finding innovative solutions to complex problems. We offer meaningful work, limitless learning opportunities, and collaboration with world-class minds. Come brighten your life and over half a billion more!","We're looking for an experienced product designer to join Duolingo English Test. You will lead the design of innovative features to establish Duolingo as the standard for proficiency.","The Duolingo English Test is one of our fastest growing businesses at Duolingo. With over 5,000 partner institutions, we are disrupting the high-stakes language-assessment market. Students can take our test from home because it is proctored through AI-based technology. The Duolingo English Test saves students time and money, allowing partner institutions to provide a better experience to their students and to gain access to a more diverse applicant pool. If you love making a difference in the world through technology, this is the place for you.","You will...","Work on the user experience across Duolingo English Test
Work collaboratively with designers and artists to build upon and expand the Duolingo design language
Partner with engineers and product managers to define both the long-term strategy and the short-term tactics for our products
Sometimes work on very broadly defined, loose concepts, and sometimes on narrowly defined, tactical features
Work in a highly energetic fashion with the design and product teams
Consider all parts when crafting the experience from copy to animation to business impact","You have...",,,,,,,,,,,,,,,,,,
2361282,"Senior Engineering Manager","https://careers.duolingo.com/jobs/7027410002?gh_jid=7027410002","Duolingo","New York","No","5","Full time","2025-02-05T03:13:08.379204Z","Our mission at Duolingo is to develop the best education in the world and make it universally available. Its a big mission, and thats where you come in!","At Duolingo, youll join a team that cares about finding innovative solutions to complex technical problems, running countless experiments (300 at a time!) with our massive user base to make data-driven decisions, and educating our users and employees alike. Youll have limitless learning opportunities, mentorship and collaboration with world-class minds, and a variety of projects with large scopes  while doing work thats both fun and meaningful.","You have...",,"Exceptional candidates will have...","Experience in fast-growing, consumer-facing, data-driven startups, ideally mobile app-based.
Master's degree or PhD in Computer Science or a related field.","Take a peek at how we care for our employees' holistic well-being with our benefits here.","We will do everything we can within reason to make sure that your interview takes place in an environment that fairly and accurately assesses your skills. If you need assistance or accommodation, please contact your recruiter.","Duolingo is proud to be an Equal Employment Opportunity employer. We do not discriminate based upon race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics.","Join our life-changing mission to develop education for our half a billion (and growing!) learners around the world.","As a Senior Engineering Manager at Duolingo, you will have the opportunity to grow as both a software engineer and an engineering leader. In this role, youll join Duolingos rapidly growing engineering organization to lead mission-critical projects from end to end, contribute to product strategy, and lead a team of world-class engineers.","Max Team (Monetization)",,"You will...",,"Experience in guiding a software engineering team and setting technical direction.
Experience in leading cross-functional software engineering projects.
Strong written and verbal communication skills.
B.A.B.S. in Computer Science or a related field","By applying for this position your data will be processed as per the Duolingo Applicant Privacy Notice.","We post a multi-level salary range for all of our roles.","This is not inclusive of the rest of our awesome portfolio that includes equity compensation and world-class benefits. Our salary ranges are the same for all US locations. Your recruiter can share more details about the range for a specific level during the hiring process. The actual salary within the range is determined by many factors including but not limited to, skills, experience, education, and internal equity.","As an Engineering Manager on the Max team, you will lead a team of engineers building premium generative AI-powered features for Duolingo's highest tier subscription, Duolingo Max.","Lead and develop a team of software engineers, including task planning, technical leadership, and career development of your reports.
Own the overall planning, execution, and success of projects that directly improve our top-line business metrics.
Lead the development of new features andor microservices in an innovative and fast-paced environment.
Collaborate with product teams across the company to find new imaginative opportunities to increase company business metrics, like DAUs, revenue, retention, and app performance.
Identify best practices and tools to maximize our ability to build and maintain features and services.",,,,,,,,,,,,
2331198,"Senior Product Manager, Learning","https://careers.duolingo.com/jobs/7833425002?gh_jid=7833425002","Duolingo","Pittsburgh","No","Not specified","Full time","2025-02-05T03:13:08.379224Z","Duolingo is the world's most popular learning app. Beyond our core learning product, we also offer English proficiency testing with the Duolingo English Test, and are bringing new subjects into the Duolingo app, where people can develop their Math and Music skills.","We are passionate about educating our users, making fact-based decisions, and finding innovative solutions to complex problems. We offer meaningful work, limitless learning opportunities, and collaboration with world-class minds. Come brighten your life and over half a billion more!","This is not inclusive of the rest of our awesome portfolio that includes equity compensation and world-class benefits. Our salary ranges are the same for all US locations. Your recruiter can share more details about the range for a specific level during the hiring process. The actual salary within the range is determined by many factors including but not limited to, skills, experience, education, and internal equity.",,,,,,,"You'll be a product manager in our Learning Pillar and will be responsible for developing products that make learning a new language fun and effective, regardless of one's level. We've recently introduced a number of new ways to learn, including Stories, DuoRadio, Adventures, and Video Call, and are always looking for better ways to teach. You will partner with your cross-functional peers to build delightful learning experiences, shape our overall learning strategy, and impact the lives of tends of hundreds of millions of learners.","Be responsible for improving the learning experience through delightful and impactful products
Drive product features through their entire creative cycle ideation, specification, development, release, analysis, and iteration
Establish the strategy for your focus area, and build alignment across product teams, cross-functional partners, and the leadership team
Perform qualitative and quantitative research to explore and validate feature ideas
Work with engineers to help guide feature development
Perform experiment analysis on features and find opportunities for optimization
Execute with urgency and excellence","A desire to make the world a better place through technology and education
Experience generating outstanding results as a product manager
Ability to utilize user insights, data, and statistical analyses to inform decisions
Top-tier design sense -- every pixel matters at Duolingo
Ability to apply user insights, data, and statistical analyses to inform decisions
Demonstrated ability to be resourceful, curious, and innovative","Duolingo is proud to be an Equal Employment Opportunity employer. We do not discriminate based upon race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics.","Take a peek at how we care for our employees' holistic well-being with our benefits here.","We post a multi-level salary range for all of our roles.",,,,,"We will do everything we can within reason to make sure that your interview takes place in an environment that fairly and accurately assesses your skills. If you need assistance or accommodation, please contact your recruiter.","By applying for this position your data will be processed as per the Duolingo Applicant Privacy Notice.",,,,,,,,,,,,
2318855,"Senior Software Engineer, Backend","https://careers.duolingo.com/jobs/7832518002?gh_jid=7832518002","Duolingo","Pittsburgh","No","Not specified","Full time","2025-02-05T03:13:08.379240Z","Our mission at Duolingo is to develop the best education in the world and make it universally available. Its a big mission, and thats where you come in!","At Duolingo, youll join a team that cares about finding innovative solutions to complex technical problems, running countless experiments (300 at a time!) with our massive user base to make data-driven decisions, and educating our users and employees alike. Youll have limitless learning opportunities, mentorship and collaboration with world-class minds, and a variety of projects with large scopes  while doing work thats both fun and meaningful.",,,"Industry experience building high-traffic APIs using public cloud providers","Take a peek at how we care for our employees' holistic well-being with our benefits here.","We will do everything we can within reason to make sure that your interview takes place in an environment that fairly and accurately assesses your skills. If you need assistance or accommodation, please contact your recruiter.","Duolingo is proud to be an Equal Employment Opportunity employer. We do not discriminate based upon race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics.","By applying for this position your data will be processed as per the Duolingo Applicant Privacy Notice.","Join our life-changing mission to develop education for our half a billion (and growing!) learners around the world.","As a Backend Engineer, you will work on building the APIs that power our products and give our learners a best-in-class experience.","Our microservices infrastructure is composed of hundreds of endpoints serving hundreds of millions of requests per day. You will partner with your team members on identifying requirements and designing services that are fast, resilient, and cost-effective. You will have ownership over the entire lifecycle of your services and associated infrastructure, and ensure they are always operating well.","As a Backend Engineer on the Data Infrastructure team, you will build tooling and infrastructure at scale to support Duolingos key data workflows from data visualization to AB testing and AI.","The enterprise application tooling team's mission is to provide tooling and engineering support for areas without traditional engineering support and for tools the entire organization leverages! We are responsible for the 2025 OKR Pivot to tooling- and automation-first approach for People teamwork. In this role, you will be utilizing generative ai, automation tools, and building DIY solutions to help improve the lives of employees across the organization!","Collaborate on software projects with product design and backend aspects
Develop, release, and maintain backend services andor infrastructure
Lead individual project priorities, milestones, and ensure we're always shipping","A Bachelors degree in Computer Science or related technical field
Strong competencies in data structures, algorithms, and software design
Experience programming in Java, Python, or Kotlin
Solid understanding of one or more database technologies","We post a multi-level salary range for all of our roles.","This is not inclusive of the rest of our awesome portfolio that includes equity compensation and world-class benefits. Our salary ranges are the same for all US locations. Your recruiter can share more details about the range for a specific level during the hiring process. The actual salary within the range is determined by many factors including but not limited to, skills, experience, education, and internal equity.",,,,,,,,,,,,,,,
2317158,"Influencer Marketing Manager","https://careers.duolingo.com/jobs/7831274002?gh_jid=7831274002","Duolingo","Beijing","No","5","Full time","2025-02-05T03:13:08.379255Z","Our mission at Duolingo is to develop the best education in the world and make it universally available. Its a big mission, and thats where you come in!","At Duolingo, youll join a team that cares about educating our users, experimenting with big ideas, making fact-based decisions, and finding innovative solutions to complex problems. Youll have limitless learning opportunities and daily collaborations with world-class minds  while doing work thats both meaningful and fun.","-  Build positive relationships with top influencers spanning education, travel, lifestyle, fashion, sports, and more. Cultivate high-quality content that aims for social virality","-  Conduct new experiments in content marketing partnerships, including celebrity collaboration, UGC community, and entertainment shows","-  Manage our influencer marketing budget Guide agencies and partners for better efficiency","-  Be the bridge between China and Global for report, collaboration, and ideation","You have...","-  5 years of marketing experience with a strong focus on influencer or content marketing","-  Successful cases and connections with influencers, creators, or celebrities","Join our life-changing mission to develop education for our half a billion (and growing!) learners around the world.","Read our blog to learn more.","About the role...","China is one of Duolingo's fastest-growing international markets. Over the past few years, we've built a strong foundation by collaborating with over 100 influencers and driving creative, buzz-worthy campaigns on social media. We're on the way to become the most-loved brand in the region","The ideal candidate will be bold, resourceful, and motivated to guide us to the next chapter. This is your chance to transform Duolingo into a Gen-Z icon in China!","-  Take ownership of the key initiatives for influencer and content partnerships that drive new user growth and word-of-mouth","-  Measure impact to identify new insights, optimize strategies, and strengthen the brand presence in the market","-  Strong curiosity about social media trends and viral content","-  Experience managing vendors, agencies, and contractors","-  Solid interpersonal skills and an ability to shine in a cross-cultural environment","We are seeking a creative, upbeat, and ambitious marketer to help us accelerate our growth in China. As our influencer marketing expert, youll manage content partnerships with influencers, celebrities, user communities, and the entertainment industry. Youll own and lead creative marketing campaigns that craft Duolingo's future.","You will...","-  Proficiency in Mandarin Chinese and English (both written  spoken)","-  Legal authorization to work in China. This position is based in Beijing","Exceptional candidates will have...","-  Passion for our mission to make high-quality language learning accessible to everyone","-  Experience working or studying in an English-speaking environment","-  Proven expertise in negotiation, with hands-on experience driving 1-X business growth","-  Ambitious, resilient, and flexible in navigating challenges and opportunities","-  A long-time Duolingo user who loves the brand","Take a peek at how we care for our employees' holistic well-being with our benefits here.","We will do everything we can within reason to make sure that your interview takes place in an environment that fairly and accurately assesses your skills. If you need assistance or accommodation, please contact your recruiter.","Duolingo is proud to be an Equal Employment Opportunity employer. We do not discriminate based upon race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics.","By applying for this position your data will be processed as per the Duolingo Applicant Privacy Notice."
2293261,"Director of Product Management, Learning","https://careers.duolingo.com/jobs/7826038002?gh_jid=7826038002","Duolingo","Pittsburgh","No","Not specified","Full time","2025-02-05T03:13:08.379274Z","Our mission at Duolingo is to develop the best education in the world and make it universally available. But weve got more left to do  and thats where you come in!","Duolingo is the world's most popular learning app. Beyond our core learning product, we also offer English proficiency testing with the Duolingo English Test, and are bringing new subjects into the Duolingo app, where people can develop their Math and Music skills.","Take a peek at how we care for our employees' holistic well-being with our benefits here.","Duolingo is proud to be an Equal Employment Opportunity employer. We do not discriminate based upon race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics.","By applying for this position your data will be processed as per the Duolingo Applicant Privacy Notice.","We post a multi-level salary range for all of our roles.","This is not inclusive of the rest of our awesome portfolio that includes equity compensation and world-class benefits. Our salary ranges are the same for all US locations. Your recruiter can share more details about the range for a specific level during the hiring process. The actual salary within the range is determined by many factors including but not limited to, skills, experience, education, and internal equity.",,,"We are passionate about educating our users, making fact-based decisions, and finding innovative solutions to complex problems. We offer meaningful work, limitless learning opportunities, and collaboration with world-class minds. Come brighten your life and over half a billion more!","You'll be the product leader for our Learning Experience Area, responsible for developing products that make learning a new language fun and effective, regardless of one's level. We've recently introduced a number of new ways to learn, including Stories, DuoRadio, Adventures, and Video Call, and are always looking for better ways to teach. You will partner with your engineering, learning  curriculum, and design peers to develop the strategy for the learning experience, lead a team of product managers, and be accountable for making sure we're teaching better every day.",,,"A desire to make the world a better place through technology and education
Experience leading other product managers at a high-performing software company
Experience generating outstanding results as a product manager
Ability to utilize user insights, data, and statistical analyses to inform decisions
Top-tier design sense -- every pixel matters at Duolingo
An instinct for creating simple and intuitive user experiences
Proven ability to learn fast
Demonstrated ability to be resourceful and innovative
Bachelors Degree in Engineering, Business, Design, Linguistics, or related field","Advanced degree in Business, Computer Science, Design, Psychology, or related field
Professional experience in areas highly related to our work as product managers at Duolingo, such as software engineering, design, data analysis, language learning, or brand management.","We will do everything we can within reason to make sure that your interview takes place in an environment that fairly and accurately assesses your skills. If you need assistance or accommodation, please contact your recruiter.",,,,"Lead a team of product managers
Build an environment where your team feels comfortable taking big swings (i.e., 0 -- 1 product development)
Develop and socialize the strategy for the language learning experience
Through your team, drive product features through their entire creative cycle ideation, specification, development, release, analysis, and iteration
Partner with leaders in other functions (e.g., learning and curriculum, engineering, design, data science, UXR) to drive the learning experience forward
Collaborate with other product leaders to navigate trade-offs and create better outcomes together
Systematically close learning gaps in a delightful way
Communicate your strategy and results clearly to executives
Execute with urgency and excellence",,,,,,,,,,,,,
2248472,"Financial Planning and Analysis Manager","https://careers.duolingo.com/jobs/7818632002?gh_jid=7818632002","Duolingo","New York","No","4","Full time","2025-02-05T03:13:08.379297Z","Our mission at Duolingo is to develop the best education in the world and make it universally available. Its a big mission, and thats where you come in!","At Duolingo, youll join a team that cares about educating our users, experimenting with big ideas, making fact-based decisions, and finding innovative solutions to complex problems. Youll have limitless learning opportunities and daily collaborations with world-class minds  while doing work thats both meaningful and fun.","You have...",,"Exceptional candidates will have...","Experience with subscription andor digital goods business models at companies with millions of users
Experience at a public technology company and familiarity with quarterly earnings call cycles
An impressive Duolingo streak!","Take a peek at how we care for our employees' holistic well-being with our benefits here.","We will do everything we can within reason to make sure that your interview takes place in an environment that fairly and accurately assesses your skills. If you need assistance or accommodation, please contact your recruiter.","Duolingo is proud to be an Equal Employment Opportunity employer. We do not discriminate based upon race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics.","Join our life-changing mission to develop education for our half a billion (and growing!) learners around the world.","Read our blog to learn more.","About the role...",,"You will...",,"4 - 6 years of relevant work experience in top-tier investment banking or FPA at a high-growth technology company
Proficient in Microsoft Excel and Google Sheets. You take pride in your analytical and financial modeling skills and enjoy applying them to tackle highly complex business problems
Extraordinary attention to detail and an eye toward using the 8020 rule to address problems
Demonstrating excellent judgment in ambiguous or new situations to reach a solution or recommended path forward
Structured thinking with a strong command of details that can be summarized into a compelling story to present relevant insights and conclusions
Excellent verbal and written communication skills
Ability to create visually attractive, concise presentations for high-profile audiences in Google Slides andor PowerPoint","By applying for this position your data will be processed as per the Duolingo Applicant Privacy Notice.","We post a multi-level salary range for all of our roles.","This is not inclusive of the rest of our awesome portfolio that includes equity compensation and world-class benefits. Our salary ranges are the same for all US locations. Your recruiter can share more details about the range for a specific level during the hiring process. The actual salary within the range is determined by many factors including but not limited to, skills, experience, education, and internal equity.","The FPA team at Duolingo is looking for a highly motivated finance professional to join us in supporting our company mission through delivering financial insights and effective partnerships. In this role, you will work closely with our FPA Director in partnering with a variety of teams around the company, including our Growth, Monetization, and Data Science to support our continued rapid growth and profitability.","Develop and maintain financial models to support forecasting, earnings calls, strategic planning, and budgeting processes
Analyze, understand, and communicate variance drivers compared to our internal forecast
Synthesize complex financial analysis into easily digestible and actionable communications for our partners to support decision-making
Analyze how our product experimentation and new initiatives impact our company-level financials
Influence decision-making by collaborating with cross-functional partners and delivering clear, insightful, and actionable presentations
Recommend, shape, and own workstreams across Duolingo with financial implications to our business
Contribute to high-profile materials for our board of directors, earnings calls, and senior executives",,,,,,,,,,,,
2248471,"Finance Intern (Masters)","https://careers.duolingo.com/jobs/7819997002?gh_jid=7819997002","Duolingo","New York","No","3","Internship","2025-02-05T03:13:08.379322Z","Our mission at Duolingo is to develop the best education in the world and make it universally available. Its a big mission, and thats where you come in!","At Duolingo, youll join a team that cares about educating our users, experimenting with big ideas, making fact-based decisions, and finding innovative solutions to complex problems. Youll have limitless learning opportunities and daily collaborations with world-class minds  while doing work thats both meaningful and fun.","You have...",,"Exceptional candidates will have...","Experience with subscription andor digital goods business models at companies with millions of users
Experience at a public technology company and familiarity with quarterly earnings call cycles
An impressive Duolingo XP or streak",,"Why youll love working here...","Dedicated mentorship and professional development opportunities
Language learning opportunities
Catered in-house lunches, and breakfast and dinner options
Company-wide Hackathon
PTO and company holidays
Frequent company-wide dinners, monthly celebrations, social clubs, and so much more!","Join our life-changing mission to develop education for our half a billion (and growing!) learners around the world.","Read our blog to learn more.","About the role...",,"You will...",,"Currently pursuing an MBA or related Masters program (e.g. Masters in Finance) and graduating in Spring 2026
3 years of professional experience in related functions
Ability to deal effectively with ambiguity, adapt to change, and thrive in a fast-paced environment. A highly-motivated self-starter
Structured thinking with a command of details that can be used to summarize large data into a compelling story through insights and conclusions
Proficiency in Microsoft Excel and Google Sheets. You take pride in your analytical and financial modeling skills and enjoy applying them to address highly complex business problems
Ability to create visually attractive, to the point presentations for high profile audiences in Google Slides andor PowerPoint
Experience in managing cross-functional complex projects by proactively managing timelines, anticipating roadblocks and proposing recommendations
Strong people leadership skills, including a proven ability to collaborate and communicate effectively with a diverse range of internal and external partners","We will do everything we can within reason to make sure that your interview takes place in an environment that fairly and accurately assesses your skills. If you need assistance or accommodation, please contact your recruiter.","Because Duolingo requires all employees to return to work from an office, all employees will need to be fully vaccinated against COVID-19 as recommended by the Centers for Disease Control and Prevention to remain employed unless they have an exemption to vaccination pursuant to a required reasonable accommodation. This is so that our employees feel safe in the office.","Take a peek at how we care for our employees' holistic well-being with our benefits here.","We're looking for a highly motivated Finance intern to join us for the summer of 2025. In this role, you will contribute to impactful projects that support our company mission through delivering financial insights and effective partnerships. You will work closely with the FPA team on analytical projects and initiatives aimed at optimizing team processes, evaluating industry best practices, and supporting business decisions.","Conduct industry research to identify opportunities for process improvement and innovation
Develop forecasts, supervise performance and understand deviations from actuals to drive strategy and operational rigor
Synthesize sophisticated issues and detailed financial analysis into easily digestible communications for relevant partners
Partner with cross-functional teams to generate financial insights that support decision-making (e.g. strategy, partnerships, data science, emerging business functions, product and content teams)
Contribute to materials for the board of directors, earnings calls materials, and other stakeholder communication
Lead project management of special strategic finance projects","Duolingo is proud to be an Equal Employment Opportunity employer. We do not discriminate based upon race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics.","By applying for this position your data will be processed as per the Duolingo Applicant Privacy Notice.","We invest in and support our Duos!",,,,,,,,,
2228357,"B2B Product Marketing Lead, Duolingo English Test","https://careers.duolingo.com/jobs/7814173002?gh_jid=7814173002","Duolingo","Pittsburgh","Yes","7","Full time","2025-02-05T03:13:08.379342Z","Our mission at Duolingo is to develop the best education in the world and make it universally available. Its a big mission, and thats where you come in!","At Duolingo, youll join a team that cares about educating our users, experimenting with big ideas, making fact-based decisions, and finding innovative solutions to complex problems. Youll have limitless learning opportunities and daily collaborations with world-class minds  while doing work thats both meaningful and fun.",,"Lead the Duolingo English Test marketing and communication strategy for higher education, governments, and related stakeholders
Manage other marketing professionals in order to achieve our business goals with our different audiences
Collaborate effectively across teams and areas to bring cohesive communication to target audiences across all touchpoints with consistency and craft.
Help define success metrics for campaigns and projects, evaluate their effectiveness, and prioritize future work and tactics
Create systems and processes in order to efficiently scale our marketing to effectively reach more of our target audiences
Manage agencies and contractors in order to increase our teams capabilities and productivity.",,"You have...","7 years managing B2B marketing or related experience in complex markets
Experience leading other high-potential marketers of different functions including agencies and contractors
A successful track record of leading digital and multi-medium marketing and communications
Excellent verbal and written communication skills for both internal and external audiences
Systems thinking and resourcefulness to drive growth limited resources
Resilience and adaptability in the face of obstacles or changing market conditions
An acute self-awareness and empathy for our team members and end-users
A passion for education, culture, and language",,"Exceptional candidates will have...","Join our life-changing mission to develop education for our half a billion (and growing!) learners around the world.","Read our blog to learn more.","About the role...","Duolingo is the world's most popular learning app. Beyond our core learning product, we also offer English proficiency testing with the Duolingo English Test, and are bringing new subjects into the Duolingo app, where people can develop their Math and Music skills.","We are passionate about educating our users, making fact-based decisions, and finding innovative solutions to complex problems. We offer meaningful work, limitless learning opportunities, and collaboration with world-class minds. Come brighten your life and over half a billion more!","We are looking for an operationally-minded and resourceful marketing professional to scale our brand and communications in order to grow the acceptance of the Duolingo English Test around the world. Youll help shape marketing strategy and build processes that help our messaging reach more audiences. As a core member of our global organization, the ideal candidate will not only be an outstanding, self-motivated leader, but also a proactive and effective communicator.","You will...","Experience with marketing automation for lead generation
Experience working with international organizationsespecially with presence in Asia
Experience leading marketing in two-sided markets
Working proficiency in more than one language","Take a peek at how we care for our employees' holistic well-being with our benefits here.","We will do everything we can within reason to make sure that your interview takes place in an environment that fairly and accurately assesses your skills. If you need assistance or accommodation, please contact your recruiter.","Our mission at Duolingo is to develop the best education in the world and make it universally available. But weve got more left to do  and thats where you come in!","The Duolingo English Test is a high-stakes test  Duolingo style convenient, fast, and affordable and trusted by top institutions around the world. Students interested in studying abroad can certify their English with the Duolingo English Test in place of other standardized tests like the TOEFL and IELTS. Using AI and remote proctoring, students can take the test online, on demand, anywhere in the world. If you love making a difference in education through technology, this is the place for you.","Duolingo is proud to be an Equal Employment Opportunity employer. We do not discriminate based upon race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics.","By applying for this position your data will be processed as per the Duolingo Applicant Privacy Notice.","We post a multi-level salary range for all of our roles.","This is not inclusive of the rest of our awesome portfolio that includes equity compensation and world-class benefits. Our salary ranges are the same for all US locations. Your recruiter can share more details about the range for a specific level during the hiring process. The actual salary within the range is determined by many factors including but not limited to, skills, experience, education, and internal equity.",,,,,,,,
2224716,"Senior Product Manager, Growth","https://careers.duolingo.com/jobs/7812333002?gh_jid=7812333002","Duolingo","Pittsburgh","No","Not specified","Full time","2025-02-05T03:13:08.379357Z","Our mission at Duolingo is to develop the best education in the world and make it universally available. Its a big mission, and even though we've made a lot of headway, we still have work to do  and thats where you come in!","Our Product Managers (PMs) have ownership over product optimizations and features, from independently run experiments to major product decisions. Backed by strong analytical skills and business acumen, and inspired by access to senior leadership and transparency into how they make product decisions, our PMs develop insights that lead to new product ideas and Duolingos next beloved feature.","Duolingo is proud to be an Equal Employment Opportunity employer. We do not discriminate based upon race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics.","We post a multi-level salary range for all of our roles.","This is not inclusive of the rest of our awesome portfolio that includes equity compensation and world-class benefits. Our salary ranges are the same for all US locations. Your recruiter can share more details about the range for a specific level during the hiring process. The actual salary within the range is determined by many factors including but not limited to, skills, experience, education, and internal equity.",,,,,"Join our life-changing mission to develop education for our half a billion (and growing!) learners around the world.","Drive product features through their entire creative cycle ideation, specification, development, release, analysis, and iteration
Establish the product vision and strategy for your product area, and build alignment across product teams, cross-functional partners, and leadership team
Perform qualitative and quantitative research to explore and validate feature ideas
Partner with product designers to ensure a fun and delightful user experience in our product
Work with engineers to help guide feature development
Perform experiment analysis on features and find opportunities for optimization
Define your key performance indicator(s) that drive company goals, and achieve them!",,,"Advanced degree in Business, Computer Science, Design, Psychology, or equivalent
Extensive experience in fast-growing, consumer-facing apps that have strong IAP andor subscription growth.","We will do everything we can within reason to make sure that your interview takes place in an environment that fairly and accurately assesses your skills. If you need assistance or accommodation, please contact your recruiter.","By applying for this position your data will be processed as per the Duolingo Applicant Privacy Notice.",,,,"A desire to make the world a better place through technology and education
Ability to apply user insights, data, and statistical analyses to inform decisions
An instinct for creating simple and intuitive user experiences
Demonstrated ability to be resourceful, curious, and innovative
Experience leading projects and teams
Bachelors Degree in Engineering, Business, Design, Psychology, or equivalent","Take a peek at how we care for our employees' holistic well-being with our benefits here.",,,,,,,,,,,,
